YearMonth,Value
196710,0.1306
196711,-0.0194
196712,-0.0383
196801,-0.1845
196802,-0.1258
196803,0.1512
196804,-0.0693
196805,-0.0798
196806,-0.0143
196807,-0.0193
196808,-0.0125
196809,-0.0085
196810,0.0496
196811,0.0170
196812,-0.0410
196901,-0.1279
196902,-0.1019
196903,0.1239
196904,0.1949
196905,0.1775
196906,0.0797
196907,0.0950
196908,0.0981
196909,0.0860
196910,0.0734
196911,0.1922
196912,0.2487
197001,0.1214
197002,0.2350
197003,0.0331
197004,0.1315
197005,0.0432
197006,0.0309
197007,-0.0200
197008,-0.0180
197009,0.0095
197010,-0.0351
197011,0.0245
197012,-0.0948
197101,-0.0047
197102,-0.2157
197103,-0.1400
197104,-0.1308
197105,-0.0904
197106,-0.1246
197107,-0.0635
197108,-0.0671
197109,-0.0423
197110,-0.0752
197111,0.0367
197112,-0.0211
197201,-0.2417
197202,-0.1629
197203,0.0024
197204,0.0365
197205,0.0160
197206,0.0784
197207,0.0643
197208,0.0877
197209,0.0210
197210,0.0894
197211,0.0810
197212,0.2537
197301,0.2585
197302,0.3704
197303,0.3308
197304,0.2511
197305,0.2155
197306,0.1981
197307,0.1152
197308,0.0774
197309,0.0568
197310,0.0456
197311,0.0218
197312,0.0273
197401,-0.1963
197402,-0.2562
197403,-0.0503
197404,-0.0422
197405,-0.0247
197406,-0.0389
197407,0.0174
197408,0.0127
197409,-0.0419
197410,-0.0822
197411,-0.0659
197412,-0.0971
197501,0.1198
197502,0.0311
197503,0.1094
197504,0.0791
197505,0.0683
197506,0.0347
197507,0.0049
197508,-0.0671
197509,0.0171
197510,-0.1232
197511,-0.1453
197512,-0.0899
197601,-0.0187
197602,-0.1218
197603,-0.2399
197604,-0.0232
197605,-0.1236
197606,-0.0742
197607,-0.0857
197608,-0.0907
197609,-0.0449
197610,-0.1840
197611,-0.0434
197612,0.0897
197701,0.0613
197702,0.2360
197703,0.3105
197704,0.2820
197705,0.2357
197706,0.2465
197707,0.1714
197708,0.1409
197709,0.1844
197710,0.1169
197711,0.2597
197712,0.1111
197801,0.1596
197802,0.1290
197803,0.2222
197804,0.1304
197805,0.0583
197806,0.0524
197807,0.0680
197808,0.0033
197809,0.0738
197810,0.0627
197811,0.2243
197812,0.1499
197901,0.1584
197902,0.0909
197903,0.2414
197904,0.1099
197905,0.1550
197906,0.2172
197907,0.1721
197908,0.2245
197909,0.2516
197910,0.2936
197911,0.2955
197912,0.5024
198001,0.3065
198002,0.3491
198003,0.2384
198004,0.3067
198005,0.3138
198006,0.2469
198007,0.2160
198008,0.1952
198009,0.2006
198010,0.1817
198011,0.3320
198012,0.2683
198101,0.4643
198102,0.3608
198103,0.4093
198104,0.3559
198105,0.2614
198106,0.2844
198107,0.2252
198108,0.2417
198109,0.1845
198110,0.1670
198111,0.2121
198112,0.4181
198201,0.1321
198202,0.1562
198203,0.0817
198204,0.2031
198205,0.1904
198206,0.1220
198207,0.1422
198208,0.1398
198209,0.2328
198210,0.1762
198211,0.1494
198212,0.4345
198301,0.5152
198302,0.4807
198303,0.4253
198304,0.2904
198305,0.2866
198306,0.2625
198307,0.2643
198308,0.3214
198309,0.3159
198310,0.2104
198311,0.4304
198312,0.2724
198401,0.2809
198402,0.1726
198403,0.2701
198404,0.1478
198405,0.2815
198406,0.1292
198407,0.1170
198408,0.1662
198409,0.1406
198410,0.1172
198411,0.0355
198412,-0.0938
198501,0.1765
198502,0.0160
198503,0.1852
198504,0.1452
198505,0.1928
198506,0.1267
198507,0.0757
198508,0.1260
198509,0.1000
198510,0.1282
198511,0.1158
198512,0.1963
198601,0.3226
198602,0.2776
198603,0.2944
198604,0.2583
198605,0.2478
198606,0.2518
198607,0.1659
198608,0.1671
198609,0.1695
198610,0.2054
198611,0.1525
198612,0.2169
198701,0.3091
198702,0.5008
198703,0.2530
198704,0.2979
198705,0.3307
198706,0.3001
198707,0.4178
198708,0.3828
198709,0.4326
198710,0.3341
198711,0.3292
198712,0.5290
198801,0.5476
198802,0.3895
198803,0.4830
198804,0.4416
198805,0.3788
198806,0.3851
198807,0.3405
198808,0.3184
198809,0.3188
198810,0.2990
198811,0.2288
198812,0.3596
198901,0.2131
198902,0.3053
198903,0.3339
198904,0.2864
198905,0.2762
198906,0.2714
198907,0.3004
198908,0.3004
198909,0.3020
198910,0.3025
198911,0.2508
198912,0.3984
199001,0.3597
199002,0.4050
199003,0.7323
199004,0.4879
199005,0.4250
199006,0.4085
199007,0.3425
199008,0.3447
199009,0.3118
199010,0.4247
199011,0.4758
199012,0.4445
199101,0.4493
199102,0.4627
199103,0.3650
199104,0.5145
199105,0.4067
199106,0.4772
199107,0.4416
199108,0.3846
199109,0.3862
199110,0.3271
199111,0.3154
199112,0.3032
199201,0.4717
199202,0.4476
199203,0.4321
199204,0.2914
199205,0.3256
199206,0.2808
199207,0.1330
199208,0.1386
199209,0.0557
199210,0.1131
199211,0.0904
199212,0.2800
199301,0.3787
199302,0.3890
199303,0.4151
199304,0.3123
199305,0.3398
199306,0.2892
199307,0.2299
199308,0.2083
199309,0.1670
199310,0.2419
199311,0.0882
199312,0.3131
199401,0.2862
199402,0.0744
199403,0.3518
199404,0.3546
199405,0.3774
199406,0.3804
199407,0.3125
199408,0.3082
199409,0.3294
199410,0.4251
199411,0.4506
199412,0.3982
199501,0.5479
199502,0.6875
199503,0.4602
199504,0.4079
199505,0.3514
199506,0.4621
199507,0.4302
199508,0.5036
199509,0.3851
199510,0.4352
199511,0.4526
199512,0.3435
199601,0.2610
199602,0.4520
199603,0.3162
199604,0.2672
199605,0.3830
